 #,Geo_ID,Geo_Feature,Geography_Name,Geography_Type,LE_birth,LE_birth_LCL,LE_birth_UCL,Overall_MR,Overall_MR_LCL,Overall_MR_UCL,COVID_a,COVID_a_LCL,COVID_a_UCL,Poor_health,Poor_health_LCL,Poor_health_UCL,Poor_health_EST,MHI,MHI_LCL,MHI_UCL,100_FPL_Pop,100_FPL_Pct,200_FPL_Pop,200_FPL_Pct,100_FPL_Child_Pop,100_FPL_Child_Pct,200_FPL_Child_Pop,200_FPL_Child_Pct,Poverty_PST,Edu_LessHS_Pop,Edu_HSGrad_Pop,Edu_College_Pop,Edu_Bach_Pop,Edu_LessHS_Pct,Edu_LessHS_Pct_LCL,Edu_LessHS_Pct_UCL,Edu_HSGrad_Pct,Edu_HSGrad_Pct_LCL,Edu_HSGrad_Pct_UCL,Edu_College_Pct,Edu_College_Pct_LCL,Edu_College_Pct_UCL,Edu_Bach_Pct,Edu_Bach_Pct_LCL,Edu_Bach_Pct_UCL,Preschool,Preschool_LCL,Preschool_UCL,Grade3_Eng,Grade3_Eng_LCL,Grade3_Eng_UCL,Grade3_Math,Grade3_Math_LCL,Grade3_Math_UCL,Diff_Child_C,Diff_Child_C_LCL,Diff_Child_C_UCL,Diff_Child_C_EST,Voting,Voting_LCL,Voting_UCL,SE_Support,SE_Support_LCL,SE_Support_UCL,SE_Support_EST
0,hp_target,Healthy People 2030 Target,Healthy People 2030 Target,Healthy People 2030 Target,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,la_county,Los Angeles County,Los Angeles County,County,80.4,80.3,80.5,668.8,664,673.7,340,336.4,343.5,13.7,12.8,14.7,direct estimate,83411,82888,83934,1352167,13.8,3093515,31.6,381427,19.6,853786,44,15.3,1364653,1412260,1743178,2389559,19.8,19.6,19.9,20.4,20.2,20.6,25.2,25,25.4,34.6,34.4,34.8,48.8,47.6,49.9,44.7,44.3,45,47,46.6,47.3,38.8,35.3,42.3,direct estimate,73.1,73.1,73.1,61.8,60.4,63.1,direct estimate
2,spa_1,SPA 1,SPA 1: Antelope Valley,Service Planning Area,75.9,75.4,76.4,905.7,875.1,936.3,348,328.6,367.4,15.5,11.7,19.3,direct estimate,79235,76837,81632,76787,18.6,170604,41.2,26954,25.6,57896,54.9,1.5,53381,77815,80544,46591,20.7,19.7,21.6,30.1,28.9,31.3,31.2,30.2,32.1,18,17.3,18.8,34,28.3,39.8,27.5,26.3,28.7,25.8,24.7,27,45,33.1,56.8,direct estimate,70.6,70.4,70.8,59.7,54.1,65.4,direct estimate
3,spa_2,SPA 2,SPA 2: San Fernando,Service Planning Area,81,80.8,81.2,651.1,641.1,661.1,324.7,317.6,331.8,11.5,9.1,13.8,direct estimate,98353,97060,99645,252159,11.7,582559,27,64268,15.3,148478,35.4,3.4,242609,296005,415694,590865,15.7,15.4,16,19.2,18.8,19.5,26.9,26.5,27.3,38.2,37.8,38.6,51.7,49.3,54,50.1,49.3,50.8,52.1,51.4,52.9,30.8,23.2,38.5,direct estimate,75.7,75.6,75.8,65.2,61.9,68.6,direct estimate
4,spa_3,SPA 3,SPA 3: San Gabriel,Service Planning Area,81.3,81,81.5,636.1,625.6,646.7,335.5,327.5,343.5,14.3,12.3,16.4,direct estimate,93762,92393,95131,185464,10.8,436338,25.4,48181,14.8,113786,34.8,6.5,219013,272483,309735,425468,17.9,17.5,18.2,22.2,21.8,22.6,25.2,24.9,25.6,34.7,34.3,35.1,50.9,48.1,53.7,51.1,50.3,51.9,53.3,52.6,54.1,39,31.8,46.2,direct estimate,75.6,75.5,75.7,61.8,58.9,64.6,direct estimate
5,spa_4,SPA 4,SPA 4: Metro,Service Planning Area,81.6,81.3,82,600.2,586.8,613.7,380.3,369.5,391.1,19.7,16.3,23.1,direct estimate,72912,71493,74332,199688,18.3,443359,40.7,44379,26.1,95170,55.9,35.7,179798,144517,175842,343696,21.3,20.8,21.8,17.1,16.7,17.6,20.8,20.4,21.3,40.7,40.2,41.3,54.8,51.1,58.5,40.4,39.3,41.5,42.5,41.4,43.7,55.4,43.4,67.4,direct estimate,71.4,71.3,71.5,54.1,50.2,58,direct estimate
6,spa_5,SPA 5,SPA 5: West,Service Planning Area,84.3,83.9,84.7,502.7,487.7,517.6,153.1,145,161.3,5.7,4.1,7.2,direct estimate,124923,121556,128289,58356,9,124215,19.1,8391,8.9,18743,19.9,2.8,24232,41037,88511,320343,5.1,4.7,5.5,8.7,8.2,9.1,18.7,18,19.3,67.6,66.8,68.4,71.5,67.4,75.6,66.7,65.1,68.2,67.9,66.4,69.4,40,30.3,49.7,direct estimate,79,78.9,79.1,69.6,66.4,72.9,direct estimate
7,spa_6,SPA 6,SPA 6: South,Service Planning Area,75.8,75.5,76.2,896,875.6,916.3,503.1,487.9,518.3,18.1,15,21.3,direct estimate,58898,57564,60233,234240,23.6,519976,52.4,82613,33.7,171530,70,56,242298,157078,149248,89229,38,37.4,38.6,24.6,24,25.2,23.4,22.9,23.9,14,13.5,14.4,37.9,34.8,41,28,27.1,28.8,32.1,31.2,32.9,39.9,31,48.7,direct estimate,59.5,59.4,59.6,53.2,48.8,57.6,direct estimate
8,spa_7,SPA 7,SPA 7: East,Service Planning Area,79.9,79.6,80.2,693,678.9,707.1,409.2,398.3,420,14.5,12,16.9,direct estimate,82888,81495,84281,151705,12.1,379048,30.1,50347,18.3,122815,44.7,9.9,225113,217727,228491,180147,26.4,25.9,26.9,25.6,25.1,26.1,26.8,26.4,27.3,21.2,20.7,21.6,43.5,40.5,46.6,41.3,40.5,42.1,44.2,43.4,45.1,31.5,23.4,39.6,direct estimate,72.6,72.5,72.7,61.5,57.9,65.1,direct estimate
9,spa_8,SPA 8,SPA 8: South Bay,Service Planning Area,80.1,79.8,80.4,680.7,668.5,692.9,262.5,253.6,271.4,11.5,9.2,13.8,direct estimate,94702,93090,96314,193768,12.8,437416,28.9,56294,18.4,125368,40.9,14.3,178209,205598,295113,393220,16.6,16.2,17,19.2,18.8,19.6,27.5,27.1,28,36.7,36.2,37.1,50.2,47.3,53.1,49.6,48.7,50.4,52.2,51.4,53.1,43.1,32.6,53.6,direct estimate,73.7,73.6,73.8,65,61.4,68.7,direct estimate
10,sd_1,District 1,District 1,Supervisorial District,80.7,80.5,81,647.3,636.9,657.8,402.4,394.1,410.7,18.2,15.8,20.6,direct estimate,78633,77549,79718,286830,14.9,664362,34.5,77103,21,175187,47.6,20.4,349734,318930,329446,391464,25.2,24.8,25.5,23,22.6,23.3,23.7,23.4,24,28.2,27.8,28.5,47.1,44.5,49.8,42,41.2,42.7,44.5,43.7,45.2,43.8,36.4,51.3,direct estimate,71.4,71.3,71.5,55,52,58.1,direct estimate
