Theme,Indicator Name,Variable,Variable Description,Data Sources,Definition and Indicator Information
Social Determinants of Health,Geo,#,Geography Sequence,,
Social Determinants of Health,Geo,Geo_ID,Geography ID,,
Social Determinants of Health,Geo,Geo_Feature,Geography Feature in Shape Files,,
Social Determinants of Health,Geo,Geography_Name,Geography Name,,
Social Determinants of Health,Geo,Geography_Type,Geography Type,,
Social Determinants of Health,Life Expectancy at Birth,LE_birth,Life Expectancy at Birth ,"[1] Los Angeles County Annual Death File 2022 (Provisional), assembled from California Department of Public Health Vital Records Data. Office of Health Assessment & Epidemiology, Los Angeles County Department of Public Health, June 2023; [2] July 1, 2022 Provisional Population Estimates, prepared by Hedderson Demographic Services for Los Angeles County Internal Services Department.","Life expectancy at birth is the average number of years a group of infants would live if they were to experience, throughout their lives, the age-specific death rates prevailing during a specified period. Life expectancy at birth estimates were calculated using abridged period life tables according to the Chiang method. Estimates are based on provisional data and subject to change. Unstable estimates are excluded and are defined as having confidence intervals greater than 6 years, i.e., +/-3.0 years. "
Social Determinants of Health,Life Expectancy at Birth,LE_birth_LCL,Lower 95% Confidence Limit,,
Social Determinants of Health,Life Expectancy at Birth,LE_birth_UCL,Upper 95% Confidence Limit,,
Social Determinants of Health,All-Cause Mortality,Overall_MR,"All-Cause Deaths (per 100,000 Population)","[1] Los Angeles County Annual Death File 2022 (Provisional), assembled from California Department of Public Health Vital Records Data. Office of Health Assessment & Epidemiology, Los Angeles County Department of Public Health, June 2023; [2] County of Los Angeles, Internal Services Department, Information Technology Service, Urban Research-GIS Section, July 1, 2022 Population Estimates (Provisional) for Los Angeles County Tract-City and Countywide Statistical Area Splits by Age, Sex and Race/Ethnicity, Los Angeles, CA, March 2023",Death rate has been age-adjusted by the 2000 U.S. standard populaton. 
Social Determinants of Health,All-Cause Mortality,Overall_MR_LCL,Lower 95% Confidence Limit,,
Social Determinants of Health,All-Cause Mortality,Overall_MR_UCL,Upper 95% Confidence Limit,,
Social Determinants of Health,Cumulative COVID-19 Mortality,COVID_a,"Age-Adjusted Cumulative COVID-19 Mortality Rate (Deaths per 100,000 Population)","[1] Los Angeles County Department of Public Health Acute Communicable Disease Control Program, COVID-19 Surveillance Data, March 1, 2020 to December 31, 2023; [2] 2018 Population Estimates, prepared by Hedderson Demographic Services for Los Angeles County Internal Services Department.",Deaths were determined to be COVID-associated if they met the Department of Public Health's surveillance definition at the time of death.
Social Determinants of Health,Cumulative COVID-19 Mortality,COVID_a_LCL,Lower 95% Confidence Limit,,
Social Determinants of Health,Cumulative COVID-19 Mortality,COVID_a_UCL,Upper 95% Confidence Limit,,
Social Determinants of Health,Self-Rated Health among Adults,Poor_health,Percentage of Adults (Ages 18 Years and Older) with Fair or Poor Health Status,"[1] 2023 Los Angeles County Health Survey, Office of Health Assessment and Epidemiology, Los Angeles County Department of Public Health; [2] Population and Poverty Estimates (Provisional), prepared by Hedderson Demographic Services for Los Angeles County, 2022; [3] U.S. Census Bureau, American Community Survey 5-Year Estimates, 2017-2021. ","Data for cities, communities, and City of Los Angeles Council Districts were generated using a small area estimation method which combined the survey data with population benchmark data (2022 population estimates for Los Angeles County) and neighborhood characteristics data (e.g.,  U.S. Census Bureau, 2017-2021 American Community Survey 5-Year Estimates). This indicator includes adults who self-reported fair or poor health status when asked about their health in general. "
Social Determinants of Health,Self-Rated Health among Adults,Poor_health_LCL,Lower 95% Confidence Limit,,
Social Determinants of Health,Self-Rated Health among Adults,Poor_health_UCL,Upper 95% Confidence Limit,,
Social Determinants of Health,Self-Rated Health among Adults,Poor_health_EST,Estimation Method,,
Social Determinants of Health,Median Household Income,MHI,Median Household Income,"US Census Bureau, American Community Survey, ACS 5-Year Estimates 2018-2022, Table B19013: Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) and Table B01003: Total Population.","Includes median household income in the past twelve months (in 2022 inflation-adjusted dollars). Geography-specific median household income are calculated as the population-weighted averages of the median household incomes within their respective 2020 census tracts. Median household income is defined as the amount that divides the household income distribution of a population into two equal groups; half of the population has a household income above that amount, whereas the other half has a household income below that amount. "
Social Determinants of Health,Median Household Income,MHI_LCL,Lower 95% Confidence Limit,,
Social Determinants of Health,Median Household Income,MHI_UCL,Upper 95% Confidence Limit,,
Social Determinants of Health,Population Living Below 100% of the Federal Poverty Level,100_FPL_Pop,Number of Population Living Below 100% Federal Poverty Level,"July 1, 2022 Poverty Estimates (Provisional), prepared by Hedderson Demographic Services for Los Angeles County Internal Services Department.","The Federal Poverty Level is a measure of poverty issued every year by the US Department of Health and Human Services. The 2022 FPL thresholds for a family of four correspond to annual incomes of $27,750 (100% FPL), $55,500 (200% FPL), and $83,250 (300% FPL)."
Social Determinants of Health,Population Living Below 100% of the Federal Poverty Level,100_FPL_Pct,Percentage of Population Living Below 100% Federal Poverty Level,"July 1, 2022 Poverty Estimates (Provisional), prepared by Hedderson Demographic Services for Los Angeles County Internal Services Department.","This indicator provides information about the percentage of the total population (including children and adults) who are living below 100% of the Federal Poverty Level (FPL). The Federal Poverty Level is a measure of poverty issued every year by the US Department of Health and Human Services. The 2022 FPL thresholds for a family of four correspond to annual incomes of $27,750 (100% FPL), $55,500 (200% FPL), and $83,250 (300% FPL)."
Social Determinants of Health,Population Living Below 200% of the Federal Poverty Level,200_FPL_Pop,Number of Population Living Below 200% Federal Poverty Level,"July 1, 2022 Poverty Estimates (Provisional), prepared by Hedderson Demographic Services for Los Angeles County Internal Services Department.","The Federal Poverty Level is a measure of poverty issued every year by the US Department of Health and Human Services. The 2022 FPL thresholds for a family of four correspond to annual incomes of $27,750 (100% FPL), $55,500 (200% FPL), and $83,250 (300% FPL)."
Social Determinants of Health,Population Living Below 200% of the Federal Poverty Level,200_FPL_Pct,Percentage of Population Living Below 200% Federal Poverty Level,"July 1, 2022 Poverty Estimates (Provisional), prepared by Hedderson Demographic Services for Los Angeles County Internal Services Department.","This indicator provides information about the percentage of the total population (including children and adults) who are living below 200% of the Federal Poverty Level (FPL). The Federal Poverty Level is a measure of poverty issued every year by the US Department of Health and Human Services. The 2022 FPL thresholds for a family of four correspond to annual incomes of $27,750 (100% FPL), $55,500 (200% FPL), and $83,250 (300% FPL)."
Social Determinants of Health,Children Living Below 100% of the Federal Poverty Level,100_FPL_Child_Pop,Number of Population Ages 17 Years and Younger Living Below 100% Federal Poverty Level,"July 1, 2022 Poverty Estimates (Provisional), prepared by Hedderson Demographic Services for Los Angeles County Internal Services Department.","The Federal Poverty Level (FPL) is a measure of poverty issued every year by the US Department of Health and Human Services. The 2022 FPL thresholds for a family of four correspond to annual incomes of $27,750 (100% FPL), $55,500 (200% FPL), and $83,250 (300% FPL)."
Social Determinants of Health,Children Living Below 100% of the Federal Poverty Level,100_FPL_Child_Pct,Percentage of Population Ages 17 Years and Younger Living Below 100% Federal Poverty Level,"July 1, 2022 Poverty Estimates (Provisional), prepared by Hedderson Demographic Services for Los Angeles County Internal Services Department.","This indicator provides information about the percentage of children ages 0-17 years who are living below 100% of the Federal Poverty Level (FPL). FPL is a measure of poverty issued every year by the US Department of Health and Human Services. The 2022 FPL thresholds for a family of four correspond to annual incomes of $27,750 (100% FPL), $55,500 (200% FPL), and $83,250 (300% FPL)."
Social Determinants of Health,Children Living Below 200% of the Federal Poverty Level,200_FPL_Child_Pop,Number of Population Ages 17 Years and Younger Living Below 200% Federal Poverty Level,"July 1, 2022 Poverty Estimates (Provisional), prepared by Hedderson Demographic Services for Los Angeles County Internal Services Department.","The Federal Poverty Level (FPL) is a measure of poverty issued every year by the US Department of Health and Human Services. The 2022 FPL thresholds for a family of four correspond to annual incomes of $27,750 (100% FPL), $55,500 (200% FPL), and $83,250 (300% FPL)."
Social Determinants of Health,Children Living Below 200% of the Federal Poverty Level,200_FPL_Child_Pct,Percentage of Population Ages 17 Years and Younger Living Below 200% Federal Poverty Level,"July 1, 2022 Poverty Estimates (Provisional), prepared by Hedderson Demographic Services for Los Angeles County Internal Services Department.","This indicator provides information about the percentage of children ages 0-17 years who are living below 200% of the Federal Poverty Level (FPL). FPL is a measure of poverty issued every year by the US Department of Health and Human Services. The 2022 FPL thresholds for a family of four correspond to annual incomes of $27,750 (100% FPL), $55,500 (200% FPL), and $83,250 (300% FPL)."
Social Determinants of Health,Population in Persistent Poverty,Poverty_PST,Percentage of Population Living in Persistent Poverty Census Tracts ,"[1] Persistent poverty census tract data are from the American Community Survey (https://www.census.gov/library/publications/2023/acs/acs-51.html); [2] Population count data are provided by County of Los Angeles, Internal Services Department, Information Technology Service, Urban Research-GIS Section, July 1, 2022, Population Estimates (Provisional) for Los Angeles County Tract-City and Countywide Statistical Area Splits by Age, Sex and Race/Ethnicity, Los Angeles, CA, March 2023.",This indicator provides information about the percentage of the population living in census tracts identified as having persistent poverty. The ACS defined persistent poverty as having a poverty rate of 20% or higher over a 30-year period using the 1990 and 2000 Censuses and the 2005–2009 and 2015–2019 ACS 5-year estimates. A census tract is characterized as a persistent poverty census tract if 20% or more of its residents are living below the federal poverty level over an extended period.
Social Determinants of Health,Educational Attainment among Adults,Edu_LessHS_Pop,Number of Population Ages 25 Years and Older with Less Than a High School Education,"U.S. Census Bureau, ""Educational Attainment for the Population 25 Years and Over."" American Community Survey, ACS 5-Year Estimates Detailed Tables, Table B15003, 2018-2022.","For the category for less than high school education, the highest level of education attained includes less than ninth grade education, as well as ninth to twelfth grade education without a high school diploma. For the high school graduates category, the highest level of education attained includes high school diploma or equivalency. For the some college education category, the highest level of education attained includes associate’s degree or some college education without a degree. For the bachelor's degree or higher category, the highest level of education attained includes bachelor’s, graduate, or professional degree. Due to rounding, educational attainment categories may not sum to 100%. "
Social Determinants of Health,Educational Attainment among Adults,Edu_HSGrad_Pop,Number of Population Ages 25 Years and Older Who Are High School Graduates,"U.S. Census Bureau, ""Educational Attainment for the Population 25 Years and Over."" American Community Survey, ACS 5-Year Estimates Detailed Tables, Table B15003, 2018-2022.","For the category for less than high school education, the highest level of education attained includes less than ninth grade education, as well as ninth to twelfth grade education without a high school diploma. For the high school graduates category, the highest level of education attained includes high school diploma or equivalency. For the some college education category, the highest level of education attained includes associate’s degree or some college education without a degree. For the bachelor's degree or higher category, the highest level of education attained includes bachelor’s, graduate, or professional degree. Due to rounding, educational attainment categories may not sum to 100%. "
Social Determinants of Health,Educational Attainment among Adults,Edu_College_Pop,Number of Population Ages 25 Years and Older with Some College Education,"U.S. Census Bureau, ""Educational Attainment for the Population 25 Years and Over."" American Community Survey, ACS 5-Year Estimates Detailed Tables, Table B15003, 2018-2022.","For the category for less than high school education, the highest level of education attained includes less than ninth grade education, as well as ninth to twelfth grade education without a high school diploma. For the high school graduates category, the highest level of education attained includes high school diploma or equivalency. For the some college education category, the highest level of education attained includes associate’s degree or some college education without a degree. For the bachelor's degree or higher category, the highest level of education attained includes bachelor’s, graduate, or professional degree. Due to rounding, educational attainment categories may not sum to 100%. "
Social Determinants of Health,Educational Attainment among Adults,Edu_Bach_Pop,Number of Population Ages 25 Years and Older with a Bachelor's Degree or Higher,"U.S. Census Bureau, ""Educational Attainment for the Population 25 Years and Over."" American Community Survey, ACS 5-Year Estimates Detailed Tables, Table B15003, 2018-2022.","For the category for less than high school education, the highest level of education attained includes less than ninth grade education, as well as ninth to twelfth grade education without a high school diploma. For the high school graduates category, the highest level of education attained includes high school diploma or equivalency. For the some college education category, the highest level of education attained includes associate’s degree or some college education without a degree. For the bachelor's degree or higher category, the highest level of education attained includes bachelor’s, graduate, or professional degree. Due to rounding, educational attainment categories may not sum to 100%. "
